context,token,probability
bag,this,0.21334095299243927
bag,paper,0.15858855843544006
bag,pictures,0.112483911216259
bag,lipstick,0.08309165388345718
bag,ink,0.03441717103123665
bag,pens,0.033602844923734665
bag,pen,0.031262535601854324
bag,gum,0.025502478703856468
bag,pencil,0.021057039499282837
bag,water,0.02041938528418541
bag,books,0.013342256657779217
bag,paint,0.011426132172346115
bag,keys,0.01040982361882925
bag,charcoal,0.009516158141195774
bag,lyrics,0.00791240856051445
bag,tissues,0.006751249078661203
bag,money,0.006317672319710255
bag,chords,0.005583786405622959
bag,that,0.005240906961262226
bag,music,0.004974746145308018
bag,one,0.00487076211720705
bag,stuff,0.004237886052578688
bag,these,0.004137260373681784
bag,ideas,0.004093406721949577
bag,letters,0.004038804676383734
bag,numbers,0.0033351059537380934
bag,notes,0.0033210234250873327
bag,you,0.0032157287932932377
bag,words,0.002972809597849846
bag,poetry,0.002782248891890049
bag,ashes,0.0027155752759426832
bag,me,0.00265037314966321
bag,matches,0.002582770073786378
bag,cash,0.0023724031634628773
bag,memories,0.002295253798365593
bag,magazines,0.0022823731414973736
bag,journals,0.002185232937335968
bag,mine,0.002149545354768634
bag,diaries,0.0020525543950498104
bag,markers,0.001963079208508134
bag,candy,0.0019449660321697593
bag,receipts,0.0019033857388421893
bag,textbooks,0.0018979243468493223
bag,clothes,0.0018871204229071736
bag,makeup,0.0017565255984663963
bag,writing,0.0017441081581637263
bag,batteries,0.0016612854087725282
bag,email,0.0015764218987897038
bag,graffiti,0.0014614628162235022
bag,photographs,0.0014415394980460405
bag,some,0.001402667141519487
bag,juice,0.0013534766621887684
bag,photos,0.0013386807404458523
bag,text,0.0013311301590874791
bag,cards,0.0013236738741397858
bag,chocolate,0.0013193448539823294
bag,quotes,0.0012471594382077456
bag,coffee,0.0012100132880732417
bag,notebook,0.00118466024287045
bag,candles,0.0011526684975251555
bag,sketches,0.0011305497027933598
bag,two,0.0011240337044000626
bag,newspapers,0.0011163888266310096
bag,quarters,0.001116196159273386
bag,ash,0.0010953714372590184
bag,paste,0.0010212116176262498
bag,enough,0.0009695747867226601
bag,rocks,0.0009575626463629305
bag,literature,0.0009255047189071774
bag,tape,0.0009240988874807954
bag,nails,0.0008824964752420783
bag,papers,0.0008822220843285322
bag,yellow,0.0008414930780418217
bag,trash,0.0008414056501351297
bag,dust,0.000833751808386296
bag,air,0.0007913106819614768
bag,messages,0.000772421364672482
bag,newspaper,0.000761619710829109
bag,texts,0.00074089749250561
bag,here,0.0007263774168677628
bag,memory,0.0007196614751592278
bag,paperwork,0.0007088468410074711
bag,yarn,0.0007073274464346468
bag,perfume,0.0007004301878623664
bag,blood,0.0006964085041545331
bag,feelings,0.0006900170701555908
bag,theories,0.0006860734429210424
bag,something,0.0006830233614891768
bag,curiosity,0.0006654009921476245
bag,copies,0.0006642496446147561
bag,hope,0.0006201568758115172
bag,half,0.0006146240048110485
bag,impressions,0.0006115439464338124
bag,crap,0.0006022442830726504
bag,yours,0.0005931896157562733
bag,a,0.0005913358763791621
bag,fragments,0.0005858902586624026
bag,supplies,0.0005848719738423824
bag,things,0.0005462368717417121
bag,theory,0.000542056339327246
bakery,coffee,0.3280632495880127
bakery,chocolate,0.12945137917995453
bakery,pie,0.11475452035665512
bakery,cakes,0.03698396310210228
bakery,fruit,0.03274894505739212
bakery,dessert,0.0278855599462986
bakery,vanilla,0.02606239542365074
bakery,cherry,0.021334894001483917
bakery,bread,0.019861195236444473
bakery,cookies,0.018995454534888268
bakery,cake,0.016736019402742386
bakery,breakfast,0.014921966008841991
bakery,candy,0.013226334005594254
bakery,milk,0.011531955562531948
bakery,tea,0.011227323673665524
bakery,beer,0.009874402545392513
bakery,one,0.009632599540054798
bakery,soda,0.008572355844080448
bakery,peanuts,0.00683585973456502
bakery,sugar,0.006737020798027515
bakery,cream,0.005912131164222956
bakery,ice,0.004846051800996065
bakery,sake,0.004460442811250687
bakery,honey,0.004384916741400957
bakery,sandwiches,0.0036759248469024897
bakery,crap,0.0034036131110042334
bakery,nuts,0.0033439367543905973
bakery,apples,0.0032928441651165485
bakery,flowers,0.003236989490687847
bakery,two,0.0030602896586060524
bakery,eggs,0.002855568192899227
bakery,bananas,0.0027634785510599613
bakery,sweets,0.0026734734419733286
bakery,pudding,0.0025846397038549185
bakery,soup,0.002576272701844573
bakery,water,0.0018987712683156133
bakery,candles,0.0018255725735798478
bakery,pasta,0.0017479242524132133
bakery,wine,0.001738284365274012
bakery,juice,0.0017349885310977697
bakery,syrup,0.0016883478965610266
bakery,sweet,0.0016875575529411435
bakery,bourbon,0.0016210288740694523
bakery,pancakes,0.0015525470953434706
bakery,italian,0.0015323461266234517
bakery,pizza,0.0014884833944961429
bakery,shit,0.001456642523407936
bakery,champagne,0.0013016404118388891
bakery,lobster,0.00125007180031389
bakery,dinner,0.0012387005845084786
bakery,rocks,0.001187117537483573
bakery,brandy,0.001163578242994845
bakery,cheese,0.0011272754054516554
bakery,chinese,0.0010268953628838062
bakery,jam,0.0010234031360596418
bakery,roses,0.0010069181444123387
bakery,jelly,0.0009176841704174876
bakery,crust,0.0008969100890681148
bakery,apple,0.0008799540810286999
bakery,strawberry,0.0008579082204960287
bakery,rolls,0.0008440068922936916
bakery,chips,0.0008208012441173196
bakery,butter,0.0007966920384205878
bakery,cookie,0.0007806792855262756
bakery,beans,0.0007405943470075727
bakery,fruits,0.0007222286658361554
bakery,salad,0.0007048150291666389
bakery,danish,0.0006341988919302821
bakery,flour,0.0005993113154545426
bakery,cash,0.0005877919029444456
bakery,cones,0.0005860679084435105
bakery,lunch,0.0005566178588196635
bakery,family,0.0005358417402021587
bakery,grapes,0.0005235682474449277
bakery,meat,0.0005213271942920983
bakery,beef,0.0005186147172935307
bakery,pop,0.0005140990833751857
