schema_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,human_outcome,human_yes,human_total,human_rate,human_count_status,trigger_logprob_sum,query_logprob_sum,trigger_logprob_mean,query_logprob_mean,trigger_token_count,query_token_count,trigger_tokenization_mode,query_tokenization_mode,x_but_not_y_applicable,x_but_not_y_prompt,x_but_not_y_logprob_sum,x_but_not_y_logprob_mean,x_but_not_y_token_count,x_but_not_y_tokenization_mode,model_name,model_revision,model_provenance_complete,source_human_file,source_score_file
1.1,novel_focus,focus_alternative_study,focus_only,bag::cash::chalk,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",cash,chalk,query_excluded,5,5,1.0,exact,-13.521199226379396,-10.427449226379396,-13.521199226379396,-10.427449226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not ",-7.814304351806641,-7.814304351806641,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::cash::crayons,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",cash,crayons,query_excluded,2,2,1.0,exact,-13.521199226379396,-8.56049167830497,-13.521199226379396,-4.280245839152485,1,2,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not ",-7.517199255526066,-3.758599627763033,2,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::cash::headphones,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",cash,headphones,query_excluded,0,3,0.0,exact,-13.521199226379396,-12.989949226379396,-13.521199226379396,-12.989949226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not ",-11.37680435180664,-11.37680435180664,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::cash::makeup,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",cash,makeup,query_excluded,2,19,0.10526315789473684,exact,-13.521199226379396,-10.802449226379396,-13.521199226379396,-10.802449226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not ",-10.87680435180664,-10.87680435180664,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::cash::pen,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",cash,pen,query_excluded,5,5,1.0,exact,-13.521199226379396,-3.864948749542236,-13.521199226379396,-3.864948749542236,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not ",-2.25180459022522,-2.25180459022522,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::chalk::cash,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",chalk,cash,query_excluded,0,6,0.0,exact,-10.427449226379396,-13.521199226379396,-10.427449226379396,-13.521199226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not ",-12.215812683105469,-12.215812683105469,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::chalk::crayons,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",chalk,crayons,query_excluded,6,6,1.0,exact,-10.427449226379396,-8.56049167830497,-10.427449226379396,-4.280245839152485,1,2,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not ",-5.23047710955143,-2.615238554775715,2,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::chalk::headphones,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",chalk,headphones,query_excluded,1,5,0.2,exact,-10.427449226379396,-12.989949226379396,-10.427449226379396,-12.989949226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not ",-13.028312683105469,-13.028312683105469,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::chalk::makeup,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",chalk,makeup,query_excluded,1,5,0.2,exact,-10.427449226379396,-10.802449226379396,-10.427449226379396,-10.802449226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not ",-12.590812683105469,-12.590812683105469,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::chalk::pen,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",chalk,pen,query_excluded,5,5,1.0,exact,-10.427449226379396,-3.864948749542236,-10.427449226379396,-3.864948749542236,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not ",-6.809563159942627,-6.809563159942627,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::crayons::cash,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",crayons,cash,query_excluded,0,5,0.0,exact,-8.56049167830497,-13.521199226379396,-4.280245839152485,-13.521199226379396,2,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not ",-12.94803237915039,-12.94803237915039,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::crayons::chalk,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",crayons,chalk,query_excluded,16,18,0.8888888888888888,exact,-8.56049167830497,-10.427449226379396,-4.280245839152485,-10.427449226379396,2,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not ",-6.854281902313232,-6.854281902313232,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::crayons::headphones,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",crayons,headphones,query_excluded,1,4,0.25,exact,-8.56049167830497,-12.989949226379396,-4.280245839152485,-12.989949226379396,2,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not ",-11.94803237915039,-11.94803237915039,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::crayons::makeup,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",crayons,makeup,query_excluded,0,5,0.0,exact,-8.56049167830497,-10.802449226379396,-4.280245839152485,-10.802449226379396,2,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not ",-11.54178237915039,-11.54178237915039,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::crayons::pen,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",crayons,pen,query_excluded,4,4,1.0,exact,-8.56049167830497,-3.864948749542236,-4.280245839152485,-3.864948749542236,2,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not ",-4.416781902313232,-4.416781902313232,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::headphones::cash,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",headphones,cash,query_excluded,2,14,0.14285714285714285,exact,-12.989949226379396,-13.521199226379396,-12.989949226379396,-13.521199226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not ",-11.994014739990234,-11.994014739990234,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
1.1,novel_focus,focus_alternative_study,focus_only,bag::headphones::chalk,bag,bag,no_frame,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",headphones,chalk,query_excluded,2,5,0.4,exact,-12.989949226379396,-10.427449226379396,-12.989949226379396,-10.427449226379396,1,1,exact_concat,exact_concat,True,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not ",-8.931514739990234,-8.931514739990234,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,focus_alt_exp_pipeline/human_exp_data/sca_dataframe.csv,focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv
